id,frekans,uzaklik,sure,ortam,algilama_sayisi,maks_db,ortalama_db
1,1000,0.5,5,hava,9.4,165.82,122.57
2,1000,1,5,hava,10.6,165.03,162.37
3,1000,1.5,5,hava,10.6,158.11,153.33
4,1000,2,5,hava,10.6,161.35,156.25
5,1000,2.5,5,hava,10.6,160.84,158.92
6,1000,3,5,hava,10.6,157.37,148.69
7,1000,3.5,5,hava,10.6,160.3,155.53
8,1000,4,5,hava,10.6,157.97,152.19
9,1000,4.5,5,hava,10.6,155.81,149.79
10,1000,5,5,hava,10.2,146.5,136
11,2000,5,5,hava,10.6,157.21,152.64
12,2000,4.5,5,hava,10.8,151.14,147.14
13,2000,4,5,hava,10.6,157.47,153.9
14,2000,3.5,5,hava,10.6,159.68,153.59
15,2000,3,5,hava,10.6,156.98,151.98
16,2000,2.5,5,hava,10.6,162.51,157.96
17,2000,2,5,hava,10.4,160.38,157.11
18,2000,1.5,5,hava,10.4,159.14,157.19
19,2000,1,5,hava,10.4,163.92,161.05
20,2000,0.5,5,hava,10.6,166.61,163.84
21,3000,0.5,5,hava,10.6,162.3,156.99
22,3000,1,5,hava,10.6,162.99,158.75
23,3000,1.5,5,hava,10.6,153.97,148.49
24,3000,2,5,hava,10.2,155.86,151.12
25,3000,2.5,5,hava,10.6,162.27,152.13
26,3000,3,5,hava,10.6,158.95,153.4
27,3000,3.5,5,hava,10.6,155.57,152.33
29,3000,4,5,hava,10.6,149.83,140.41
30,3000,4.5,5,hava,10.6,153.69,146.57
31,3000,5,5,hava,10.6,152.51,144.55
32,4000,5,5,hava,10.6,161.08,156.63
33,4000,4.5,5,hava,10.6,161.26,153.12
34,4000,4,5,hava,10.2,156.66,147.11
35,4000,3.5,5,hava,10.6,162.58,160.3
36,4000,3,5,hava,10.6,156.75,150.28
37,4000,2.5,5,hava,10.4,160.21,156.55
38,4000,2,5,hava,10.6,162.39,160
39,4000,1.5,5,hava,10.6,161.82,158.19
40,4000,1,5,hava,10.6,159.77,149.03
41,4000,0.5,5,hava,10.6,163.92,163.08
42,5000,0.5,5,hava,10.6,165.82,164.73
43,5000,1,5,hava,10.6,161.07,156.76
44,5000,1.5,5,hava,10.8,155.4,147.64
45,5000,2,5,hava,10.4,148.41,142.69
46,5000,2.5,5,hava,10.6,152.53,146.19
47,18000,3,5,hava,9.2,120.24,116.43
49,5000,3.5,5,hava,10.6,153.05,144.6
50,5000,4,5,hava,10.6,154.07,148.09
51,5000,4.5,5,hava,10.6,158.5,154.36
52,5000,5,5,hava,10.6,152.74,148.81
53,6000,5,5,hava,10.6,159.11,156.11
54,6000,4.5,5,hava,10.6,158.72,153.75
55,6000,4,5,hava,10.6,154.17,149.76
56,6000,3.5,5,hava,10.6,154.3,149.04
57,6000,3,5,hava,10.6,145.32,137.66
58,6000,2.5,5,hava,10.6,152.86,148.48
59,6000,2,5,hava,10.6,140.08,133.65
60,6000,1.5,5,hava,10.6,154.02,148.37
61,6000,1,5,hava,10.6,153.83,149.16
62,6000,0.5,5,hava,10.6,164.37,161.02
63,7000,0.5,5,hava,10.8,166.94,163.39
64,7000,1,5,hava,10.6,158.19,149.52
65,7000,1.5,5,hava,10.6,160.13,154.82
66,7000,2,5,hava,10.6,150.16,141.85
67,7000,2.5,5,hava,10.6,157.49,152.86
68,7000,3,5,hava,10.2,156.44,147.57
69,7000,3.5,5,hava,10.6,160.35,154.16
71,7000,4,5,hava,10.6,159.1,154.57
72,7000,4.5,5,hava,10.6,159.36,153.04
73,7000,5,5,hava,10.4,159.59,152.42
74,8000,5,5,hava,10.6,158.64,151.8
75,8000,4.5,5,hava,10.4,156.97,151.71
76,8000,4,5,hava,10.6,153.07,148.46
77,8000,3.5,5,hava,10.6,151.13,147.13
78,8000,3,5,hava,7.6,150.16,146.9
79,8000,2.5,5,hava,9.2,150.77,145.14
80,8000,2,5,hava,10.6,154.42,150.23
81,8000,1.5,5,hava,10.6,153.62,148.25
82,8000,1,5,hava,10.6,157.46,152.93
83,8000,0.5,5,hava,10.6,160.61,155.35
84,9000,0.5,5,hava,10.4,153.2,148.21
85,9000,1,5,hava,8.4,149.18,143.99
86,9000,1.5,5,hava,10.4,154.7,150.6
87,9000,2,5,hava,10.8,148.1,131.87
88,9000,2.5,5,hava,10.8,151.51,146.47
89,9000,3,5,hava,10.6,144.56,138.73
90,9000,3.5,5,hava,10.2,156.35,150.69
91,9000,4,5,hava,9.6,145.68,140.2
92,9000,4.5,5,hava,10.6,157.34,152.7
93,9000,5,5,hava,10.6,152.21,147.65
94,10000,5,5,hava,10.6,155.45,152.34
95,10000,4.5,5,hava,10.6,148.43,140.91
96,10000,4,5,hava,10.6,153.8,151.12
97,10000,3.5,5,hava,10.6,153.11,147.06
98,10000,3,5,hava,10.4,143.28,138.17
99,10000,2.5,5,hava,10.6,143.97,138.3
100,10000,2,5,hava,10.8,150.03,146.59
101,10000,1.5,5,hava,10.6,152.59,148.84
102,10000,1,5,hava,9.4,148.73,144.33
103,10000,0.5,5,hava,10.6,161.39,157.06
104,11000,0.5,5,hava,10.6,156.39,153.15
105,11000,1,5,hava,10.6,152.36,149
106,11000,1.5,5,hava,10.2,154.41,149.63
107,11000,2,5,hava,10.4,147.27,143.46
108,7000,2.5,5,hava,10.4,154.92,149.8
109,11000,2.5,5,hava,10.4,147.62,135.23
110,11000,3,5,hava,10.6,148.36,146.82
111,11000,3.5,5,hava,10.8,158.57,154.64
112,11000,4,5,hava,10.6,161.36,155.5
113,11000,4.5,5,hava,10.6,153.17,150.55
114,11000,5,5,hava,10.6,151.99,148.89
115,12000,5,5,hava,10.6,139.43,135.69
116,12000,4.5,5,hava,10,142.45,138.54
117,12000,4,5,hava,10.2,145.45,142.27
118,12000,3.5,5,hava,10.6,146.38,143.41
119,12000,3,5,hava,10.8,142.48,139.34
120,12000,2.5,5,hava,10.6,137.48,131.9
121,12000,2,5,hava,10.8,140.96,138.34
122,12000,1.5,5,hava,10.6,144.44,139.22
124,12000,0.1,5,hava,10.4,151.84,148
126,12000,0.5,5,hava,8.8,152.06,147.66
127,13000,0.5,5,hava,10.6,143.65,140.74
128,13000,1,5,hava,10.6,141.74,138.35
129,13000,1.5,5,hava,10.8,134.84,130.87
130,13000,2,5,hava,10.6,128.66,121.71
131,13000,2.5,5,hava,10.6,136.81,130.95
132,13000,3,5,hava,10.8,130.57,128.16
133,13000,3.5,5,hava,10.6,140.37,135.32
134,13000,4,5,hava,10.4,140.21,135.38
135,13000,4.5,5,hava,10.4,143.38,140.15
136,13000,5,5,hava,10.6,143.26,137.86
137,14000,5,5,hava,10.6,142.66,138.19
138,14000,4.5,5,hava,10.6,141.23,138.77
139,14000,4,5,hava,10.4,141.77,137.66
140,14000,3.5,5,hava,10.8,141.63,137.18
141,14000,3,5,hava,10.4,135.59,129.94
142,14000,2.5,5,hava,10,135.08,132.1
143,14000,2,5,hava,9.6,140.91,136.96
144,14000,1.5,5,hava,10.2,139.79,137.86
145,14000,1,5,hava,10.6,140.16,137.77
146,14000,0.5,5,hava,10.6,148.7,146.02
147,15000,0.5,5,hava,10.6,144.4,141.37
148,15000,1,5,hava,10.4,141.76,140
149,15000,1.5,5,hava,10.6,136.88,133.14
150,15000,2,5,hava,10.2,130.54,126.16
151,15000,2.5,5,hava,10.4,125.2,120.87
152,15000,3,5,hava,10.8,126.1,121.8
153,15000,3.5,5,hava,10.6,140.31,134.8
154,15000,4,5,hava,10.6,141.51,134.45
155,15000,4.5,5,hava,10.6,139.12,135.13
156,15000,5,5,hava,10.6,139.14,136.81
157,16000,5,5,hava,9.8,139.32,131.69
158,16000,4.5,5,hava,9.4,133.75,126.45
159,16000,4,5,hava,10.6,130.48,125.57
160,16000,3.5,5,hava,10.2,134.23,128.53
161,16000,3,5,hava,10.6,126.57,121.54
